                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5883,                 3.2564,                 1.9093,                0.56193,                0.56258,                0.54785,                0.29821,                 1.2427,                 1.5656,                 1.5527,             0.00030279,             0.00030279,             0.00030279
                      1,                 1.4742,                 1.9686,                 1.7714,                 0.6142,                0.57816,                0.60625,                0.33705,                 1.2302,                 1.3011,                 1.5531,             0.00059379,             0.00059379,             0.00059379
                      2,                 1.4474,                 1.7379,                 1.7466,                0.58423,                0.61156,                 0.6088,                0.34283,                 1.2063,                 1.1718,                 1.5133,              0.0008728,              0.0008728,              0.0008728
                      3,                 1.4113,                 1.6189,                 1.7122,                0.64922,                0.61774,                0.65594,                0.36563,                 1.1785,                 1.1617,                 1.4838,             0.00085501,             0.00085501,             0.00085501
                      4,                  1.358,                 1.4824,                 1.6625,                0.68668,                0.68917,                0.71942,                0.42173,                 1.0976,                0.99583,                 1.4285,             0.00085501,             0.00085501,             0.00085501
                      5,                 1.3183,                  1.393,                 1.6307,                0.69382,                0.71501,                0.73649,                0.42665,                 1.1286,                0.93599,                 1.4432,             0.00083701,             0.00083701,             0.00083701
                      6,                 1.2962,                 1.3447,                  1.609,                 0.7337,                0.71043,                0.75654,                0.43578,                 1.1174,                0.91023,                 1.4235,             0.00081901,             0.00081901,             0.00081901
                      7,                 1.2694,                 1.2768,                  1.586,                0.70857,                  0.752,                0.76634,                0.45638,                 1.0576,                0.88442,                 1.3822,             0.00080101,             0.00080101,             0.00080101
                      8,                   1.24,                 1.2253,                 1.5571,                0.76032,                0.69773,                0.74829,                0.44994,                  1.032,                0.86004,                 1.3703,             0.00078301,             0.00078301,             0.00078301
                      9,                 1.2294,                 1.2042,                 1.5505,                0.79025,                0.74279,                0.78639,                0.47942,                 1.0123,                0.80003,                 1.3555,             0.00076501,             0.00076501,             0.00076501
                     10,                 1.2061,                 1.1601,                 1.5325,                0.73666,                0.75386,                   0.79,                0.47956,                 1.0083,                0.77371,                  1.348,             0.00074702,             0.00074702,             0.00074702
                     11,                 1.1988,                 1.1342,                 1.5253,                0.77627,                0.75156,                0.80542,                 0.4951,                0.98093,                0.73431,                 1.3364,             0.00072902,             0.00072902,             0.00072902
                     12,                 1.1723,                 1.0938,                 1.4978,                 0.7709,                0.76839,                0.80656,                 0.4929,                0.98624,                0.77078,                 1.3285,             0.00071102,             0.00071102,             0.00071102
                     13,                 1.1646,                 1.0828,                  1.498,                0.76729,                0.78582,                0.81385,                0.50335,                0.97051,                0.71238,                 1.3221,             0.00069302,             0.00069302,             0.00069302
                     14,                 1.1479,                 1.0584,                 1.4853,                 0.7973,                0.76265,                0.81424,                0.50326,                0.97596,                0.70862,                 1.3129,             0.00067502,             0.00067502,             0.00067502
                     15,                 1.1392,                 1.0289,                 1.4728,                0.79946,                0.78182,                0.82882,                0.51146,                0.96554,                0.70046,                 1.3179,             0.00065703,             0.00065703,             0.00065703
                     16,                 1.1258,                 1.0013,                 1.4579,                0.81877,                0.76839,                0.82624,                0.51348,                0.96246,                0.69916,                  1.317,             0.00063903,             0.00063903,             0.00063903
                     17,                 1.1183,                0.99311,                 1.4535,                0.82838,                0.77758,                0.83352,                0.52413,                0.94471,                0.67103,                 1.2994,             0.00062103,             0.00062103,             0.00062103
                     18,                 1.1028,                0.96614,                 1.4432,                0.79153,                0.79131,                0.82179,                0.51402,                0.94196,                0.68263,                 1.2973,             0.00060303,             0.00060303,             0.00060303
                     19,                 1.0995,                0.96094,                 1.4378,                0.81003,                0.78993,                0.83331,                0.52513,                0.94106,                0.66698,                 1.2973,             0.00058503,             0.00058503,             0.00058503
                     20,                 1.0839,                 0.9438,                 1.4299,                0.80718,                0.79525,                0.83754,                 0.5311,                0.92823,                0.64979,                 1.2761,             0.00056703,             0.00056703,             0.00056703
                     21,                 1.0805,                0.92703,                  1.425,                0.81438,                0.81776,                0.84646,                0.53601,                0.93305,                0.62273,                 1.2813,             0.00054904,             0.00054904,             0.00054904
                     22,                  1.072,                0.91774,                 1.4171,                0.81827,                0.80942,                0.84748,                0.53905,                0.91891,                0.61814,                 1.2728,             0.00053104,             0.00053104,             0.00053104
                     23,                 1.0627,                0.89864,                 1.4055,                0.80927,                0.79542,                 0.8387,                0.53287,                0.91843,                 0.6282,                 1.2757,             0.00051304,             0.00051304,             0.00051304
                     24,                 1.0497,                0.87956,                 1.3943,                0.83362,                0.80059,                0.85057,                0.54673,                0.90612,                0.61008,                 1.2653,             0.00049504,             0.00049504,             0.00049504
                     25,                 1.0419,                0.87346,                 1.3878,                0.82402,                0.81341,                0.84508,                0.54233,                0.90474,                0.60754,                 1.2605,             0.00047704,             0.00047704,             0.00047704
                     26,                 1.0334,                0.85934,                 1.3878,                0.81636,                0.81706,                0.85278,                0.55054,                0.89992,                0.59663,                 1.2541,             0.00045904,             0.00045904,             0.00045904
                     27,                 1.0232,                0.84819,                 1.3787,                0.83444,                 0.8137,                0.85414,                 0.5463,                0.91094,                  0.592,                 1.2546,             0.00044105,             0.00044105,             0.00044105
                     28,                 1.0266,                0.84236,                 1.3753,                 0.8231,                0.81893,                 0.8489,                0.54702,                0.89595,                0.59288,                 1.2492,             0.00042305,             0.00042305,             0.00042305
                     29,                 1.0099,                0.82018,                 1.3675,                0.82415,                0.81579,                0.85209,                0.54845,                0.89146,                0.59345,                 1.2506,             0.00040505,             0.00040505,             0.00040505
                     30,                 1.0093,                0.81626,                 1.3598,                0.83475,                 0.8169,                0.85903,                 0.5552,                0.88574,                0.58557,                 1.2481,             0.00038705,             0.00038705,             0.00038705
                     31,                0.99949,                0.79828,                 1.3537,                0.82688,                0.82372,                0.85621,                0.55553,                0.88634,                0.58339,                 1.2468,             0.00036905,             0.00036905,             0.00036905
                     32,                0.99559,                0.79254,                 1.3529,                0.83846,                 0.8272,                0.86321,                0.55917,                0.88944,                 0.5643,                 1.2456,             0.00035106,             0.00035106,             0.00035106
                     33,                0.98044,                0.78332,                  1.345,                0.82847,                0.82988,                0.86433,                0.56045,                0.88399,                0.56626,                 1.2421,             0.00033306,             0.00033306,             0.00033306
